"","Verrucomicrobia","Proteobacteria","Actinobacteria","Acidobacteria","Firmicutes","Bacteroidetes","Chloroflexi","Rokubacteria","Entotheonellaeota","Bacteria_unclassified","Planctomycetes","Deinococcus-Thermus","Nitrospirae","Dependentiae","Latescibacteria","Gemmatimonadetes","Epsilonbacteraeota","BRC1","Cyanobacteria","FBP","Chlamydiae","Armatimonadetes","Patescibacteria","Fusobacteria","Elusimicrobia","Spirochaetes","Hydrogenedentes","Kiritimatiellaeota","Fibrobacteres","WS2","WPS-2","RsaHf231","FCPU426","WS4","Tenericutes","Synergistetes","GAL15","Omnitrophicaeota","Lentisphaerae"
"R254_CORE2",1099.85655963809,3227.18746551914,2039.50126889551,892.4197285667,173.893854132186,568.023833167825,649.895178197065,373.827650888227,50.0937879289419,148.295266468057,578.174997241532,0.22067747986318,24.7158777446762,9.9304865938431,23.6124903453603,79.4438927507448,0.44135495972636,3.3101621979477,12.1372613924749,4.19287211740042,22.2884254661812,7.7237117952113,7.06167935562176,0,0.88270991945272,0,0.22067747986318,0,0.22067747986318,0.66203243958954,0.22067747986318,0,0.22067747986318,0,1.32406487917908,0,0,0,0
"R254_CORE3",728.624302114046,3798.06787529013,1491.12351797252,1137.31886330845,75.2775860987391,1236.43435167179,540.116680258453,147.418606110031,10.3506680885766,77.7868389686971,403.048742236999,0.627313217489493,7.84141521861866,10.0370114798319,38.5797628756038,140.518160717646,3.76387930493695,15.0555172197478,16.9374568722163,6.58678878363967,21.9559626121322,44.2255818330092,29.4837212220061,0,3.76387930493695,7.52775860987391,1.56828304372373,0,0,4.39119252242645,0.313656608744746,0,0.313656608744746,0,0,0,0,0.940969826234239,0
"R254_IN1",511.191721970545,3070.99513548754,3031.20977583123,611.992444124973,562.344327242942,960.030758429314,433.459821801708,186.389395028502,30.4240985607061,97.9589107504054,343.524849133248,0.167165376707176,11.5344109927952,6.01795356145835,14.3762223968172,45.3018170876448,6.3522843148727,16.2150415405961,11.0329148626736,13.2060647598669,16.3822069173033,11.0329148626736,3.34330753414353,0,0.668661506828706,0.167165376707176,1.50448839036459,0.167165376707176,0.501496130121529,0,0,1.33732301365741,0.167165376707176,0,0.668661506828706,0.167165376707176,0.167165376707176,0,0
"R254_IN2",664.0625,2964.19902912621,3529.65716019417,267.369538834951,727.77609223301,784.66322815534,404.657160194175,54.2324029126214,9.86043689320388,48.5436893203883,386.074029126214,0.758495145631068,3.03398058252427,24.2718446601942,3.03398058252427,46.2682038834951,0.379247572815534,6.82645631067961,4.55097087378641,10.618932038835,48.5436893203883,3.03398058252427,6.44720873786408,0,0,0,0,0,1.1377427184466,0,0,0,0,0,0,0,0,0,0
"R254_IN3",371.916272115624,4879.76576127585,1725.17443309245,327.996511338151,63.3877398455021,1672.22153002741,278.62571642163,1.86892599053077,0.467231497632694,65.5681535011214,292.642661350611,0.311487665088462,1.86892599053077,20.0909543982058,0.155743832544231,156.211064041864,0.467231497632694,15.2628955893347,17.7547969100424,20.5581858958385,24.919013207077,38.0014951407924,14.172688761525,0,0.155743832544231,3.73785198106155,3.11487665088463,0,0.467231497632694,0.778719162721156,1.24595066035385,0,0.467231497632694,0,0.311487665088462,0,0,0,0
"S303",896.855140948346,2277.00831024931,1341.04611373635,2732.27961544729,10.7544402802672,580.413883004725,531.530063548965,293.628808864266,52.794525012221,141.437184291999,673.94492423008,0,21.5088805605345,39.4329476943132,129.053283363207,161.316604204008,0,7.16962685351149,15.9687143555483,0.651784259410135,5.54016620498615,21.8347726902395,27.3749388952257,0,21.5088805605345,0.325892129705068,1.30356851882027,2.28124490793547,1.95535277823041,2.60713703764054,0.977676389115203,0,3.58481342675574,0,0,0,0.325892129705068,3.25892129705068,0
"S303_CONINT",837.771700014395,3121.25137949235,1515.04246437311,1939.44628376757,9.11664507461254,1058.49047550501,430.641523919198,84.9287462213905,22.0718775490619,76.0520128592678,606.016985749244,0,11.035938774531,5.03814596228588,20.3924955616333,130.751883306943,0,9.35655678710235,12.4754090494698,3.35876397485725,4.79823424979608,28.069670361307,50.141547910369,0,7.91708651216352,0.719735137469411,1.91929369991843,1.91929369991843,1.91929369991843,5.75788109975529,1.67938198742863,0,1.19955856244902,0,0,0,0,0.719735137469411,0
"S303_CORE1",539.346308226802,4327.25064930684,1379.22892704152,874.962053496138,264.444969136843,1693.59463014808,189.90117043883,108.274024353223,8.43255641380241,91.4089115256181,184.504334333997,0,6.07144061793773,42.162782069012,25.2976692414072,70.158869362836,27.996087293824,21.9246466758863,8.09525415725031,39.4643640165953,19.2262286234695,12.1428812358755,39.4643640165953,0.337302256552096,1.01190676965629,16.1905083145006,1.01190676965629,1.01190676965629,0.674604513104193,0,0.337302256552096,0,0,0,4.72223159172935,0,0.674604513104193,0,0.674604513104193
"S303_CORE2",905.159365134282,3836.43990831639,1368.76702849976,1021.92622064611,75.6822211650737,1312.11348008476,402.629416598192,121.524023699347,12.9740950568698,94.2784240799204,447.606279462008,0.432469835228993,8.64939670457986,30.7053583012585,29.4079487955715,158.71642952904,0,16.0013839034727,22.0559615966786,20.3260822557627,21.6234917614496,19.0286727500757,42.8145136876703,0,4.32469835228993,11.2442157159538,4.32469835228993,0.432469835228993,3.89222851706094,3.89222851706094,0.432469835228993,0,2.59481901137396,0,0,0,0,0,0
"S303_CORE3",494.098658327449,3495.81357812973,2005.24563704227,475.537173408655,850.600221930798,1530.91899525875,292.343387470998,99.4653485322304,13.7193584182387,96.4390194693836,427.51941894482,0.605265812569353,4.84212650055483,8.07021083425805,9.88600827196611,40.1492989004338,2.82457379199032,5.44739231312418,17.1491980227983,38.5352567335822,48.6230202764047,8.47372137597095,8.2719661051145,0,2.21930797942096,15.7369111268032,0.201755270856451,0.807021083425804,0.605265812569353,0.403510541712902,0.403510541712902,0.201755270856451,0.403510541712902,2.82457379199032,0.807021083425804,0.403510541712902,0,0,0.403510541712902
"S303_IN1",230.679837303893,4087.15862870424,2106.91458454387,72.9227193492156,462.812318419524,2665.02033701336,139.453805926787,2.32423009877978,0.871586287042417,34.8634514816967,69.4363742010459,0,1.74317257408483,1.74317257408483,0,29.9244625217897,28.4718187100523,11.9116792562464,7.55374782103428,6.10110400929692,6.10110400929692,9.58744915746659,16.8506682161534,0.581057524694945,0,1.16211504938989,0.290528762347472,0,0.871586287042417,0,0,0,0,0,4.35793143521209,0,0,0,0.290528762347472
