"","Sample","Sample_name","Type","Location","Depth","Study_day","Sort1","Sort2","Stage","Stage1","Stage.1","Moisture","pH","EC","DO","CO2","NH4","NO3","TN","TC","CN_ratio","copies.gdw","log.copies.gdw","fungal.bacterial.ratio","log.f.b.ratio","Chao1","Shannon","InvSimpson","Phase","Donor"
"D16_IN1","gr_int_sp1","D16_IN1","grint","grave","interface","16","D","DD","Advanced1","G_Advanced","Advanced",0.644268775,6.88,4.721,53.2,77.3349346,9287.706983,2.358977602,1.218,31.911,26.1968,18856300000,10.27545725,0.0333831,-1.476473594,2971.817891,4.539985752,21.19317328,"BLOOM","Donor1"
"D16_IN2","gr_int_sp2","D16_IN2","grint","grave","interface","16","D","DD","Advanced1","G_Advanced","Advanced",0.540740741,6.61,3.445,38.6,75.52513215,5391.36,0.969639506,1.28,25.641,20.038,2283930000,9.358683225,0.0526977,-1.278208437,3513.887324,5.08534762,33.27556863,"BLOOM","Donor2"
"D16_IN3","gr_int_sp3","D16_IN3","grint","grave","interface","16","D","DD","Advanced1","G_Advanced","Advanced",0.38981289,6.63,2269,50.2,54.57211147,4454.072349,0.956191268,1.244,23.49,18.8831,4379850000,9.641459429,1.78742,0.252225624,3657.51682,5.32663594,32.54414059,"BLOOM","Donor3"
"E27","con15_mean","E27","con15","control","core","27","E","con","Advanced1","Control","Advanced2",0.347963107,7.13,42.38666667,98.06666667,2.227421887,9.787333127,6.20965378,0.485666667,6.637,13.56523333,1806520000,9.256841593,0.049135,-1.308609062,4909.421053,6.752026271,223.4023154,"CLIMAX","Control"
"E27_CONINT","conint_mean","E27_CONINT","conint","control","interface","27","E","con","Advanced1","Control","Advanced2",0.683365533,6.993333333,53.23666667,98.06666667,7.921953612,15.95071457,6.950333145,0.831333333,12.685,15.15493333,15583300000,10.19265927,0.0288392,-1.540016107,3983.450262,6.262094871,123.6264939,"CLIMAX","Control"
"E27_CORE1","gr_15_sp1","E27_CORE1","gr15","grave","core","27","E","E","Advanced1","G_Advanced","Advanced2",0.401723209,5.88,389.9,69.6,52.11570771,878.6001077,12.90706731,0.846,14.24,16.8244,18582500000,10.26910307,0.239324,-0.621014455,4012.85443,6.15017028,114.2402866,"CLIMAX","Donor1"
"E27_CORE2","gr_15_sp2","E27_CORE2","gr15","grave","core","27","E","E","Advanced1","G_Advanced","Advanced2",0.286751361,5.92,467.4,37.4,56.12323766,83.55305505,1.046557774,0.625,10.812,17.3068,14018600000,10.14670519,0.789371,-0.102718689,3748.002597,5.982091264,96.50968604,"CLIMAX","Donor2"
"E27_CORE3","gr_15_sp3","E27_CORE3","gr15","grave","core","27","E","E","Advanced1","G_Advanced","Advanced2",0.288530466,5.62,384.2,62.9,52.21708177,141.9101553,1.072057348,0.609,9.884,16.2374,2.5131e+10,10.40020928,0.532556,-0.273634316,4848.0587,6.051995847,103.4803997,"CLIMAX","Donor3"
"E27_IN1","gr_int_sp1","E27_IN1","grint","grave","interface","27","E","E","Advanced1","G_Advanced","Advanced2",0.441495778,6.52,3.401,69.6,77.17592195,4635.081624,1.06862887,1.935,38.999,20.1586,973331000,8.988260642,2.65064,0.423350813,1372.217054,3.586676317,16.2006537,"CLIMAX","Donor1"
"E27_IN2","gr_int_sp2","E27_IN2","grint","grave","interface","27","E","E","Advanced1","G_Advanced","Advanced2",0.930167598,5.99,1431,37.4,107.5796447,1441.191806,0.615080074,1.855,29.203,15.7413,45892500000,10.66174209,0.414382,-0.382598861,1312.170732,3.595906748,13.85658125,"CLIMAX","Donor2"
"E27_IN3","gr_int_sp3","E27_IN3","grint","grave","interface","27","E","E","Advanced1","G_Advanced","Advanced2",0.669396873,6.21,684,62.9,76.25001463,1054.168479,1.914241747,1.073,16.195,15.0917,72610500000,10.8609997,0.137938,-0.860316098,3116.394231,5.635787347,91.85787132,"CLIMAX","Donor3"
"F43","con15_mean","F43","con15","control","core","43","F","con","Advanced2","Control","Advanced3",0.269576426,7.133333333,66.82,99.06666667,1.921501233,10.3450656,6.6711092,0.494,7.006,14.26033333,23980900000,10.37986538,0.0327554,-1.484717365,4519.379085,6.221104917,114.7996937,"CLIMAX","Control"
"F43_CONINT","conint_mean","F43_CONINT","conint","control","interface","43","F","con","Advanced2","Control","Advanced3",0.223929144,7.023333333,98.67666667,99.06666667,1.63922552,27.39708509,9.734563673,0.892666667,13.11933333,14.68863333,18230900000,10.2608076,0.114099,-0.942717041,4762.678862,6.554320626,184.6771756,"CLIMAX","Control"
"F43_CORE1","gr_15_sp1","F43_CORE1","gr15","grave","core","43","F","F","Advanced2","G_Advanced","Advanced3",0.280607248,5.68,696.2,64.5,47.5911628,577.4684949,9.490153444,0.406,7.924,19.5099,17071100000,10.23226067,0.220763,-0.656074513,2378.478814,4.546860016,19.51515491,"CLIMAX","Donor1"
"F43_CORE2","gr_15_sp2","F43_CORE2","gr15","grave","core","43","F","F","Advanced2","G_Advanced","Advanced3",0.242331288,5.98,465.5,75,39.13200769,109.6564417,9.312515337,0.432,6.533,15.1235,26230900000,10.41881273,0.765603,-0.115996526,3268.297214,4.958952426,39.67005913,"CLIMAX","Donor2"
"F43_CORE3","gr_15_sp3","F43_CORE3","gr15","grave","core","43","F","F","Advanced2","G_Advanced","Advanced3",0.344211823,5.52,437.5,80.25,48.6749513,257.0133005,1.828128079,0.536,10.19,18.9962,28125900000,10.44910594,0.309953,-0.508704253,4343.247191,5.334764726,30.22074676,"CLIMAX","Donor3"
"F43_IN1","gr_int_sp1","F43_IN1","grint","grave","interface","43","F","F","Advanced2","G_Advanced","Advanced3",0.300291545,6.47,3.355,64.5,65.92263276,4953.590671,1.20320311,1.9,23.798,12.5256,3.6102e+10,10.55753174,0.127705,-0.893792886,2313.716895,4.461076572,18.66168012,"CLIMAX","Donor1"
"F43_IN2","gr_int_sp2","F43_IN2","grint","grave","interface","43","F","F","Advanced2","G_Advanced","Advanced3",0.210611803,5.65,968.8,75,60.88390595,1045.968598,0.411608013,1.359,19.228,14.1447,5666010000,9.753277224,7.90769,0.898049383,1833.75,4.104272218,19.90610956,"CLIMAX","Donor2"
"F43_IN3","gr_int_sp3","F43_IN3","grint","grave","interface","43","F","F","Advanced2","G_Advanced","Advanced3",0.515252357,6.02,1036,80.25,69.74934741,2325.811351,0.682873729,1.307,30.04,22.9862,30357700000,10.48226822,0.904591,-0.043547662,1726.478528,4.887749234,37.78586444,"CLIMAX","Donor3"
