"","Proteobacteria","Verrucomicrobia","Actinobacteria","Acidobacteria","Chloroflexi","Entotheonellaeota","Rokubacteria","Bacteria_unclassified","Bacteroidetes","Firmicutes","Nitrospirae","Planctomycetes","Dependentiae","Epsilonbacteraeota","Gemmatimonadetes","Cyanobacteria","Chlamydiae","Latescibacteria","Deinococcus-Thermus","FBP","BRC1","Armatimonadetes","Fibrobacteres","Patescibacteria","Elusimicrobia","WPS-2","RsaHf231","Fusobacteria","Tenericutes","Hydrogenedentes","Synergistetes","WS2","Spirochaetes","GAL15","Lentisphaerae","Kiritimatiellaeota","FCPU426","Omnitrophicaeota"
"WIN_B21_CORE1",2794.9297188755,1042.92168674699,2162.39959839357,1664.78413654618,439.25702811245,94.754016064257,336.972891566265,141.817269076305,498.24297188755,123.619477911647,26.355421686747,546.56124497992,6.27510040160643,0,50.828313253012,3.13755020080321,10.0401606425703,30.7479919678715,0,0,0,10.0401606425703,1.88253012048193,8.785140562249,5.64759036144578,0,0,0,0,0,0,0,0,0,0,0,0,0
"WIN_B21_CORE2",2926.02804012436,981.404352672024,2327.09567665865,1487.65178623805,471.050624743357,82.7125007332669,290.960286267378,119.669149997067,509.76711444829,118.495923036311,24.0511526954889,547.310377192468,7.03936176453335,0,52.2085997536223,3.51968088226667,4.10629436264445,19.3582448524667,0,0,1.17322696075556,11.1456561271778,1.75984044113334,6.45274828415557,4.10629436264445,0,0,0,0,0,0,0,0,0,0,1.17322696075556,1.17322696075556,0.586613480377779
"WIN_B21_CORE3",2634.93355031191,720.097640358015,2164.36126932465,1700.56956875509,583.129915920803,82.7230810957418,246.813127203689,199.349064279902,793.327908868999,47.4640629237863,21.697857336588,614.320585842148,27.122321670735,0,75.942500678058,6.78058041768375,6.78058041768375,47.4640629237863,0,0,0,12.2050447518308,4.06834825061025,6.78058041768375,1.35611608353675,0,0,0,0,0,0,0,0,0,0,0,0,0
"WIN_B21_IN1",2718.35542105812,843.159762078681,2435.041218825,1861.62996973808,513.409162057811,78.7853490556193,195.137222164249,93.3945528540123,374.099968694563,109.047271209433,25.0443493686737,617.238860482104,3.13054367108421,0,75.1330481060211,8.8698737347386,7.82635917771053,13.5656892413649,0,0.521757278514035,4.17405822811228,9.39163101325263,3.13054367108421,3.65230094959825,2.08702911405614,0.521757278514035,0,0,0,0,0,2.08702911405614,0,0,0,0,1.04351455702807,0.521757278514035
"WIN_B21_IN2",3176.14035087719,656.842105263158,2511.34502923977,1272.98245614035,429.941520467836,50.9941520467836,108.070175438596,69.2397660818713,1079.29824561404,88.8888888888889,31.3450292397661,436.491228070175,0.935672514619883,4.67836257309942,48.6549707602339,4.21052631578947,4.21052631578947,6.08187134502924,0,0.467836257309942,1.40350877192982,3.74269005847953,1.87134502923977,7.48538011695906,2.80701754385965,0,0,0,0,0,0,0.935672514619883,0,0,0,0,0,0.935672514619883
"WIN_B21_IN3",3566.93399136336,551.511412708205,2520.6662553979,1256.01480567551,465.144972239358,57.9888957433683,144.355336212215,81.431215299198,582.356570018507,111.042566317088,24.6761258482418,542.87476866132,14.8056755089451,0,40.715607649599,4.93522516964837,7.40283775447255,3.70141887723627,0,0,1.23380629241209,8.63664404688464,2.46761258482418,7.40283775447255,3.70141887723627,0,0,0,0,0,0,0,0,0,0,0,0,0
"WIN_C38",2381.79669030733,885.342789598109,2979.90543735225,1579.19621749409,601.654846335697,56.7375886524823,375.886524822695,125.295508274232,152.482269503546,235.224586288416,39.0070921985816,476.359338061466,4.72813238770686,0,63.8297872340425,0,10.6382978723404,17.7304964539007,0,0,1.18203309692671,5.91016548463357,2.36406619385343,4.72813238770686,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WIN_C38_CONINT",2544.71019176902,605.472958414135,3305.32212885154,1468.43352725706,705.66688213747,65.7185951303598,98.0392156862745,79.7241973712562,383.538030596854,80.8015513897867,24.7791424262012,528.98082309847,2.15470803706098,0,53.8677009265245,8.61883214824391,4.30941607412196,7.54147812971342,0,0,3.23206205559147,16.1603102779573,0,7.54147812971342,4.30941607412196,0,0,0,0,0,0,1.07735401853049,0,0,0,0,0,0
"WIN_C38_CORE1",3618.72523117569,623.348745046235,2002.97225891678,1004.78863936592,315.389696169088,46.2351387054161,127.972258916777,66.0501981505945,932.133421400264,776.089828269485,18.1638044914135,376.486129458388,6.60501981505945,0,47.0607661822985,2.47688243064729,4.12813738441215,4.12813738441215,0,0,1.65125495376486,8.25627476882431,2.47688243064729,7.43064729194188,2.47688243064729,4.95376486129458,0,0,0,0,0,0,0,0,0,0,0,0
"WIN_C38_CORE2",5153.86913654019,618.464296384822,1026.29220197192,736.480430236032,221.093516582014,37.3468778010158,162.832387212429,50.7917538093815,385.419778906483,1366.89572751718,7.46937556020317,173.289512996713,1.49387511204063,0,34.3591275769346,1.49387511204063,2.98775022408127,2.98775022408127,0,0,0,7.46937556020317,0,7.46937556020317,0,0,0,0,0,0,0,1.49387511204063,0,0,0,0,0,0
