"ADH_10_actual","p__Ascomycota","p__Basidiomycota","p__Mortierellomycota","k__Fungi_unclassified","p__Rozellomycota","p__Chytridiomycota","p__Mucoromycota","p__Glomeromycota","p__Monoblepharomycota","p__unclassified_Fungi","p__Zoopagomycota","p__Kickxellomycota","p__Olpidiomycota","p__Aphelidiomycota","p__Blastocladiomycota","p__Basidiobolomycota"
1502.226,5765.90648755597,1642.19514734979,238.46714568364,1084.55690929918,275.434759970842,281.682807456003,159.845881495366,66.6458398417161,37.4882849109653,441.528688951369,0,0,0,0.520670623763407,5.72737686139748,0
3019.923,7868.78722980959,417.793069550258,1161.62857376915,331.659820477712,132.593710868471,7.02173226134887,10.1815117789559,14.2775222647427,6.43658790623647,48.9180680873972,0,0,0,0.468115484089925,0.234057742044962,0
4574.528,6407.86346101391,405.057865409344,2106.14503370611,346.997623037057,573.198768655262,5.26049175856291,25.5231266804349,29.8094532985232,4.87082570237307,95.2733507384172,0,0,0,0,0,0
0,4346.90888569394,2182.65858672722,704.083415073297,991.628931916209,813.592572188705,87.8760598202169,76.4548593848676,262.284508821198,2.68734127890571,525.778321217903,0.134367063945286,1.47803770339814,0.268734127890571,0,4.16537898230386,0
1364.604,6926.8680445151,432.255785196962,2144.49743861509,322.381204734146,36.5659777424483,12.7186009538951,97.5092739798622,10.7754813637167,4.94612259318142,10.2455396573044,0,0,0,0.883236177353824,0.35329447094153,0
3009.054,7734.660858743,535.158680771624,1231.73615432483,319.352831362788,89.2345986309894,15.0591163658992,48.03982576229,11.2009956440572,1.12009956440573,12.6944617299316,0,0.248911014312383,0,0.124455507156192,1.24455507156192,0
3407.734,8883.90641616448,473.768167316554,286.777738390642,252.392768521801,19.1421481744062,6.91244239631336,58.6671393123006,14.3566111308047,1.0634526763559,2.65863169088975,0,0.177242112725984,0,0,0.177242112725984,0
0,2913.04131656143,481.032168249391,436.533585243375,4633.321732213,318.45075324417,214.537861084871,19.6390394272361,578.23298364242,0,301.794859046388,95.4606473425148,1.74016805051459,0,0.994381743151196,2.48595435787799,0
1530.639,4442.87205979336,512.063090789184,368.899758188613,3268.98768960211,955.704550450649,52.6214552648934,44.9274565838646,26.9289953836008,31.4629588920642,211.447570894702,79.000879314135,0,0,5.0835348428226,0,0
2949.689,7423.94414791062,1106.28538956426,149.777768757738,803.685588456152,247.600105534471,48.5052665760153,17.4537779311185,2.43541087410955,8.92983987173503,149.16891603921,40.5901812351592,1.42065634323057,0,0.202950906175796,0,0
4391.578,9031.75065540344,411.468519828555,246.847821563813,200.241354916566,30.8767841538013,1.33161333277849,17.3109733261204,0.665806666389247,0.998709999583871,48.3542091465191,1.33161333277849,8.4890349964629,0,0.332903333194624,0,0
0,2907.36744003532,5964.46264776573,314.783930936381,324.961985579046,281.674596556629,29.0626379555599,60.9457006916172,12.0174621082062,0.490508657477804,78.6040123608182,0.858390150586158,14.7152597243341,0,0.245254328738902,9.81017314955609,0
1588.226,5113.16079295154,3838.93171806167,185.297356828194,259.636563876652,217.786343612335,43.7775330396476,270.099118942731,1.65198237885463,0.275330396475771,60.2973568281938,1.10132158590308,4.12995594713656,0,1.37665198237885,0.550660792951542,1.9273127753304
3011.635,8262.6478171957,1002.9341157642,300.302302836312,102.249488752556,95.5810438339113,18.0048012803414,191.384369165111,0.222281497288166,0.889125989152663,23.7841202098337,0.444562994576332,0.222281497288166,0,1.11140748644083,0.222281497288166,0
