Sample,Sample_name,Type,Location,Depth,Study_day,Sort1,Sort2,Stage,Stage1,Stage,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson,
gr_15_sp1,E27_CORE1,gr15,grave,core,27,E,E,Advanced1,G_Advanced,Advanced2,0.401723209,5.88,389.9,69.6,52.11570771,878.6001077,12.90706731,0.846,14.24,16.8244,4.44722E+09,9.648088618,2.39324E-01,-0.621014455,660.4477612,2.650350305,5.894957129,
gr_int_sp2,E27_IN2,grint,grave,interface,27,E,E,Advanced1,G_Advanced,Advanced2,0.930167598,5.99,1431,37.4,107.5796447,1441.191806,0.615080074,1.855,29.203,15.7413,1.90171E+10,10.27914323,4.14382E-01,-0.382598861,127.3333333,1.35982089,3.267631563,
gr_15_sp2,E27_CORE2,gr15,grave,core,27,E,E,Advanced1,G_Advanced,Advanced2,0.286751361,5.92,467.4,37.4,56.12323766,83.55305505,1.046557774,0.625,10.812,17.3068,1.10659E+10,10.04398651,7.89371E-01,-0.102718689,93.625,1.353876806,3.273249711,
gr_int_sp3,E27_IN3,grint,grave,interface,27,E,E,Advanced1,G_Advanced,Advanced2,0.669396873,6.21,684,62.9,76.25001463,1054.168479,1.914241747,1.073,16.195,15.0917,1.00158E+10,10.0006836,1.37938E-01,-0.860316098,720.1298701,2.793989097,7.071816991,
gr_15_sp3,E27_CORE3,gr15,grave,core,27,E,E,Advanced1,G_Advanced,Advanced2,0.288530466,5.62,384.2,62.9,52.21708177,141.9101553,1.072057348,0.609,9.884,16.2374,1.33837E+10,10.12657496,5.32556E-01,-0.273634316,449.3888889,2.643375437,6.94996746,
conint_mean,E27_CONINT,conint,control,interface,27,E,con,Advanced1,Control,Advanced2,0.683365533,6.993333333,53.23666667,98.06666667,7.921953612,15.95071457,6.950333145,0.831333333,12.685,15.15493333,4.49410E+08,8.652643164,2.88392E-02,-1.540016107,2015.921296,5.352852588,61.26271204,
con15_mean,E27,con15,control,core,27,E,con,Advanced1,Control,Advanced2,0.347963107,7.13,42.38666667,98.06666667,2.227421887,9.787333127,6.20965378,0.485666667,6.637,13.56523333,8.87631E+07,7.948232531,4.91350E-02,-1.308609062,1166.007299,4.382935027,27.79191711,
gr_int_sp1,F43_IN1,grint,grave,interface,43,F,F,Advanced2,G_Advanced,Advanced3,0.300291545,6.47,3.355,64.5,65.92263276,4953.590671,1.20320311,1.9,23.798,12.5256,4.61040E+09,9.663738858,1.27705E-01,-0.893792886,313.7575758,2.449279462,7.437683583,
gr_15_sp1,F43_CORE1,gr15,grave,core,43,F,F,Advanced2,G_Advanced,Advanced3,0.280607248,5.68,696.2,64.5,47.5911628,577.4684949,9.490153444,0.406,7.924,19.5099,3.76865E+09,9.576186159,2.20763E-01,-0.656074513,460.3469388,3.124425342,10.81132546,
gr_int_sp2,F43_IN2,grint,grave,interface,43,F,F,Advanced2,G_Advanced,Advanced3,0.210611803,5.65,968.8,75,60.88390595,1045.968598,0.411608013,1.359,19.228,14.1447,4.48050E+10,10.65132661,7.90769E+00,0.898049383,159.2142857,2.205350724,5.761193724,
