Sample_name,Sample,Type,Location,Depth,Sort1,Sort2,Stage,Stage1,Study day,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
E55_INT1,gr_int_win1,grint,grave,interface,E,E,Advanced1,G_Advanced,75,1.289383562,7.61,1043,62.4,108.9830794,7095.868037,3.217347032,1.646,22.926,13.9301,3.75789E+09,9.574943506,1.26158E-01,-0.899085326,640.4444444,3.071940448,10.17603851
E55_CORE1,gr_15_win1,gr15,grave,core,E,E,Advanced1,G_Advanced,75,0.500534759,7.62,198.8,62.4,29.45230969,390.2990945,13.36876435,0.509,7.588,14.9107,3.03159E+09,9.481670955,7.39855E-02,-1.130853615,715.9850746,3.424358396,11.44733686
E55_INT2,gr_int_win2,grint,grave,interface,E,E,Advanced1,G_Advanced,75,0.843891403,6.33,169.7,72.4,88.91191723,461.7104072,0.309773756,1.054,23.658,22.438,5.73151E+10,10.75826876,1.26031E+00,0.10047847,404.5,2.322692832,4.88602711
E55_CORE2,gr_15_win2,gr15,grave,core,E,E,Advanced1,G_Advanced,75,0.540468227,6.96,265.9,72.4,33.20453456,277.5307559,22.53191527,0.591,8.181,13.846,6.36605E+09,9.803870132,1.82691E-01,-0.738282075,798.1369863,2.373768048,3.71097293
E55_INT3,gr_int_win3,grint,grave,interface,E,E,Advanced1,G_Advanced,75,0.757647059,6.87,275.6,79,69.04169855,361.8409412,51.05144471,1.118,13.797,12.343,1.21123E+10,10.08322838,3.10708E-01,-0.507647288,732.2380952,2.708630079,7.923584587
E55_CORE3,gr_15_win3,gr15,grave,core,E,E,Advanced1,G_Advanced,75,0.67865824,6.7,190.5,79,30.08540262,26.27659699,2.280736996,0.934,11.421,12.2258,4.62529E+09,9.665138523,1.91519E-01,-0.717788361,452,0.824914271,1.392042238
E55_CONINT,conint_mean,conint,control,interface,E,con,Advanced1,Control,75,0.77789881,7.163333333,59.17,100.0666667,7.370254522,12.48968542,10.70791709,0.865333333,12.82133333,14.91663333,8.62302E+08,8.935659202,5.36155E-02,-1.270709442,1831.25,5.609847433,100.0931049
E55,con15_mean,con15,control,core,E,con,Advanced1,Control,75,0.534923589,7.353333333,45.77,100.0666667,2.754228671,7.402854993,8.315045641,0.750666667,10.65766667,14.26903333,5.31199E+08,8.725256993,3.05544E-02,-1.514926919,1525.63125,5.242329063,69.78462177
F75_INT1,gr_int_win1,grint,grave,interface,F,F,Advanced2,G_Advanced,94,1.579154376,7.14,336.4,83.5,106.011831,2187.122911,0.973200918,2.08,32.311,15.537,1.53772E+10,10.1868763,1.31003E-01,-0.882718711,361.5882353,2.53487066,7.914001011
F75_CORE1,gr_15_win1,gr15,grave,core,F,F,Advanced2,G_Advanced,94,0.534579439,6.44,329.5,83.5,23.0004322,170.7270779,50.16233271,0.374,5.346,14.3093,4.81712E+08,8.682787864,2.40099E-02,-1.619608863,664.5490196,2.825802584,5.960529901
