Sample,Sample_name,Type,Location,Depth,Study_day,Sort1,Sort2,Stage,Stage1,Stage,Moisture,pH,EC,DO,CO2,NH4,NO3,TN,TC,CN_ratio,copies/gdw,log copies/gdw,fungal:bacterial ratio,log f:b ratio,Chao1,Shannon,InvSimpson
gr_15_sp1,L117_CORE1,gr15,grave,core,117,L,L,Advanced1,G_Advanced,Advanced8,0.385135135,5.57,678.1,86.5,31.7175822,420.1576577,126.4351351,0.552,9.186,16.6532,2.70087E+09,9.431503406,3.21107E-01,-0.493349905,3786.286885,6.186453196,151.6616622
gr_int_sp2,L117_IN2,grint,grave,interface,117,L,L,Advanced1,G_Advanced,Advanced8,0.474824356,5.83,721.2,97.1,15.85939495,89.4726776,367.0346214,1.075,12.634,11.7545,5.99173E+09,9.777552137,1.87656E+00,0.273362207,2064.61215,5.286899364,73.7412461
gr_15_sp2,L117_CORE2,gr15,grave,core,117,L,L,Advanced1,G_Advanced,Advanced8,0.318404908,6.49,247,97.1,3.581525298,33.75116564,77.06516155,0.476,6.288,13.2205,9.35880E+09,9.971220289,3.28151E-01,-0.483926231,4631.422222,6.169077136,99.4305543
gr_int_sp3,L117_IN3,grint,grave,interface,117,L,L,Advanced1,G_Advanced,Advanced8,0.587589237,6.51,272,94.7,37.29824855,157.2771737,101.2246897,1.061,14.354,13.5236,2.17543E+09,9.337545643,7.30248E-01,-0.13652959,2977.71777,5.985637042,166.287783
gr_15_sp3,L117_CORE3,gr15,grave,core,117,L,L,Advanced1,G_Advanced,Advanced8,0.502360081,6.05,262.7,94.7,47.32323196,141.7426658,14.37057496,0.716,11.733,16.3767,5.28662E+09,9.723177788,9.76440E-01,-0.010354651,3985.757576,6.188505108,148.2771983
conint_mean,L117_CONINT,conint,control,interface,117,L,con,Advanced1,Control,Advanced8,0.312502407,7.023333333,34.96666667,98.63333333,1.960390344,12.62819769,11.71686261,0.750666667,10.43533333,13.88483333,1.14082E+09,9.057215882,1.10565E-01,-0.956382287,5681.126365,6.785095215,287.97077
con15_mean,L117,con15,control,core,117,L,con,Advanced1,Control,Advanced8,0.30758279,7.213333333,55.45666667,98.63333333,1.916169065,7.439136686,10.78529924,0.447333333,6.148,13.67513333,3.09895E+09,9.491214834,8.80987E-02,-1.05503026,6478.394933,6.357344985,115.075391
gr_int_sp1,M132_IN1,grint,grave,interface,132,M,M,Advanced1,G_Advanced,Advanced9,0.430951102,6.46,886.1,90.7,70.71132337,788.5494537,268.3510299,1.079,12.17,11.278,3.33041E+08,8.522497755,6.46872E-01,-0.189181804,1488.739837,4.918641602,45.46000685
gr_15_sp1,M132_CORE1,gr15,grave,core,132,M,M,Advanced1,G_Advanced,Advanced9,0.431113662,5.79,648,90.7,37.17364207,230.3520551,131.0518485,0.82,10.778,13.1375,5.39678E+09,9.732134774,9.57619E-01,-0.018807091,3506.924138,5.866030973,106.4840294
gr_int_sp2,M132_IN2,grint,grave,interface,132,M,M,Advanced1,G_Advanced,Advanced9,0.274409044,5.84,317,98.9,5.606624788,115.7163412,204.4152107,0.977,11.634,11.9109,3.43789E+09,9.536292184,2.08179E-01,-0.681562388,2091.060748,5.406647531,73.28051968
gr_15_sp2,M132_CORE2,gr15,grave,core,132,M,M,Advanced1,G_Advanced,Advanced9,0.234229829,6.27,228.9,98.9,2.633014681,14.90949633,39.59409291,0.463,6.125,13.2338,7.04218E+09,9.847707042,6.08340E-01,-0.215853921,3384.471545,6.25417768,172.2592086
gr_int_sp3,M132_IN3,grint,grave,interface,132,M,M,Advanced1,G_Advanced,Advanced9,0.278996865,5.95,454.4,98.4,11.3580622,196.4539185,137.8758621,1.056,13.391,12.6853,2.18030E+09,9.338516177,4.55298E-01,-0.341704168,2775.326772,6.150157235,174.0976824
